"key_ID","year","opinion_by_ID","opinion_by","opinion_by_code","count_opinions"
1,1988,1,"Belgium","BE",0
2,1988,2,"France","FR",0
3,1988,3,"Germany","DE",0
4,1988,4,"Italy","IT",0
5,1988,5,"Luxembourg","LU",0
6,1988,6,"Netherlands","NL",0
7,1988,7,"Denmark","DK",0
8,1988,8,"Ireland","IE",0
9,1988,9,"United Kingdom","UK",0
10,1988,10,"Greece","EL",0
11,1988,11,"Portugal","PT",0
12,1988,12,"Spain","ES",0
13,1988,13,"Austria","AT",0
14,1988,14,"Finland","FI",0
15,1988,15,"Sweden","SE",0
16,1988,29,"Iceland","IS",0
17,1988,31,"Norway","NO",0
18,1988,32,"Switzerland","CH",0
19,1988,34,"Commission","EC",2
20,1988,35,"European Free Trade Association","EFTA",0
21,1989,1,"Belgium","BE",5
22,1989,2,"France","FR",43
23,1989,3,"Germany","DE",15
24,1989,4,"Italy","IT",9
25,1989,5,"Luxembourg","LU",0
26,1989,6,"Netherlands","NL",5
27,1989,7,"Denmark","DK",2
28,1989,8,"Ireland","IE",3
29,1989,9,"United Kingdom","UK",19
30,1989,10,"Greece","EL",4
31,1989,11,"Portugal","PT",0
32,1989,12,"Spain","ES",9
33,1989,13,"Austria","AT",0
34,1989,14,"Finland","FI",0
35,1989,15,"Sweden","SE",0
36,1989,29,"Iceland","IS",0
37,1989,31,"Norway","NO",0
38,1989,32,"Switzerland","CH",0
39,1989,34,"Commission","EC",87
40,1989,35,"European Free Trade Association","EFTA",0
41,1990,1,"Belgium","BE",6
42,1990,2,"France","FR",49
43,1990,3,"Germany","DE",12
44,1990,4,"Italy","IT",6
45,1990,5,"Luxembourg","LU",0
46,1990,6,"Netherlands","NL",3
47,1990,7,"Denmark","DK",1
48,1990,8,"Ireland","IE",0
49,1990,9,"United Kingdom","UK",11
50,1990,10,"Greece","EL",0
51,1990,11,"Portugal","PT",0
52,1990,12,"Spain","ES",15
53,1990,13,"Austria","AT",0
54,1990,14,"Finland","FI",0
55,1990,15,"Sweden","SE",0
56,1990,29,"Iceland","IS",0
57,1990,31,"Norway","NO",0
58,1990,32,"Switzerland","CH",0
59,1990,34,"Commission","EC",160
60,1990,35,"European Free Trade Association","EFTA",0
61,1991,1,"Belgium","BE",2
62,1991,2,"France","FR",55
63,1991,3,"Germany","DE",11
64,1991,4,"Italy","IT",4
65,1991,5,"Luxembourg","LU",0
66,1991,6,"Netherlands","NL",0
